:Data_list: 20150326_Gs_mag_1m.txt
:Created: 2015 Mar 26 0901 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2015 03 26  0000   57107      0     1.08e+02    1.98e+01    1.56e+01    1.11e+02
2015 03 26  0001   57107     60     1.08e+02    1.99e+01    1.54e+01    1.11e+02
2015 03 26  0002   57107    120     1.08e+02    2.05e+01    1.53e+01    1.11e+02
2015 03 26  0003   57107    180     1.08e+02    2.07e+01    1.61e+01    1.11e+02
2015 03 26  0004   57107    240     1.09e+02    2.05e+01    1.62e+01    1.12e+02
2015 03 26  0005   57107    300     1.09e+02    1.99e+01    1.59e+01    1.12e+02
2015 03 26  0006   57107    360     1.09e+02    1.98e+01    1.58e+01    1.12e+02
2015 03 26  0007   57107    420     1.09e+02    1.93e+01    1.59e+01    1.12e+02
2015 03 26  0008   57107    480     1.08e+02    1.93e+01    1.58e+01    1.11e+02
2015 03 26  0009   57107    540     1.09e+02    1.88e+01    1.61e+01    1.12e+02
2015 03 26  0010   57107    600     1.08e+02    1.85e+01    1.57e+01    1.11e+02
2015 03 26  0011   57107    660     1.08e+02    1.84e+01    1.56e+01    1.10e+02
2015 03 26  0012   57107    720     1.08e+02    1.85e+01    1.53e+01    1.10e+02
2015 03 26  0013   57107    780     1.06e+02    1.86e+01    1.54e+01    1.09e+02
2015 03 26  0014   57107    840     1.06e+02    1.88e+01    1.55e+01    1.09e+02
2015 03 26  0015   57107    900     1.06e+02    1.90e+01    1.53e+01    1.09e+02
